English,Chinese,Audio_UK,Audio_US,Example_EN,Example_ZH,Level,Topic,Source
drive,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
dry,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
duck,,,,,,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
eagle,,,,,,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
ear,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
easy,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
eat,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
egg,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
elephant,,,,,,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
Emma,,,,,,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
end,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
English,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
environment,,,,,,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
eraser (UK rubber),,,,,,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
evening,,,,,,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
everywhere,,,,,,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
eye,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
face,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
family,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
far,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
farm,,,,,,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
fat,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
February,,,,,,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
field,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
film (US movie),,,,,,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
find,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
find out,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
finish,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
fish,,,,,,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
fix,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
flashlight (UK torch),,,,,,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
flower,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
fly,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
fog,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
food,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
for,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
Frank,,,,,,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
Friday,,,,,,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
friend,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
frightening,,,,,,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
frog,,,,,,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
fun,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
funny,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
fur,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
game,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
garden,,,,,,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
George,,,,,,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
get,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
giraffe,,,,,,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
girl,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
give,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
go,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
go out,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
goat,,,,,,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
good,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
grandparent,,,,,,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
grape,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
green,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
grey (US gray),,,,,,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
ground,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
gym,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
happy,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
Harry,,,,,,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
hat,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
he,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
head,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
