word,phrase_type,level,official_write,training_include,write_priority,level_label,topic,pos,special_type,source
future,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
gate,word,A2 Flyers,no,yes,core,核心（core）,nature_animals,mixed,,Cambridge 2025 PDF
geography,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
George,word,A2 Flyers,yes,yes,must_write,必写（must_write）,people,mixed,name,Cambridge 2025 PDF
get to,phrase,A2 Flyers,no,yes,tricky,易错（tricky）,actions_phrases,verb,,Cambridge 2025 PDF
glass,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
glove,word,A2 Flyers,no,yes,core,核心（core）,home_objects,mixed,,Cambridge 2025 PDF
glue,word,A2 Flyers,no,yes,core,核心（core）,home_objects,mixed,,Cambridge 2025 PDF
go away,phrase,A2 Flyers,no,yes,tricky,易错（tricky）,actions_phrases,phrase,,Cambridge 2025 PDF
go out,phrase,A2 Flyers,no,yes,tricky,易错（tricky）,actions_phrases,verb,,Cambridge 2025 PDF
gold,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
golf,word,A2 Flyers,no,yes,core,核心（core）,school_fun,mixed,,Cambridge 2025 PDF
group,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
guess,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
gym,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
half,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
happen,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
hard,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
Harry,word,A2 Flyers,yes,yes,must_write,必写（must_write）,people,mixed,name,Cambridge 2025 PDF
hate,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
hear,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
heavy,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
Helen,word,A2 Flyers,yes,yes,must_write,必写（must_write）,people,mixed,name,Cambridge 2025 PDF
high,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
hill,word,A2 Flyers,no,yes,core,核心（core）,nature_animals,mixed,,Cambridge 2025 PDF
history,word,A2 Flyers,no,no,extended,扩展（extended）,school_fun,mixed,,Cambridge 2025 PDF
hole,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
Holly,word,A2 Flyers,yes,yes,must_write,必写（must_write）,people,mixed,name,Cambridge 2025 PDF
honey,word,A2 Flyers,no,yes,core,核心（core）,food,mixed,,Cambridge 2025 PDF
hope,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
horrible,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
hotel,word,A2 Flyers,no,yes,core,核心（core）,places,mixed,,Cambridge 2025 PDF
hour,word,A2 Flyers,no,yes,core,核心（core）,time,mixed,,Cambridge 2025 PDF
how long,phrase,A2 Flyers,no,yes,tricky,易错（tricky）,general,phrase,,Cambridge 2025 PDF
hurry,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
husband,word,A2 Flyers,no,yes,extended,扩展（extended）,people,mixed,,Cambridge 2025 PDF
if,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
if you want,phrase,A2 Flyers,no,yes,tricky,易错（tricky）,actions_phrases,phrase,,Cambridge 2025 PDF
important,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
improve,word,A2 Flyers,no,no,extended,扩展（extended）,general,verb,,Cambridge 2025 PDF
in a minute,phrase,A2 Flyers,no,yes,tricky,易错（tricky）,actions_phrases,phrase,,Cambridge 2025 PDF
information,word,A2 Flyers,no,yes,tricky,易错（tricky）,general,mixed,,Cambridge 2025 PDF
insect,word,A2 Flyers,no,yes,core,核心（core）,nature_animals,mixed,,Cambridge 2025 PDF
instead,word,A2 Flyers,no,no,extended,扩展（extended）,general,adverb,,Cambridge 2025 PDF
instrument,word,A2 Flyers,no,yes,tricky,易错（tricky）,school_fun,mixed,,Cambridge 2025 PDF
interested,word,A2 Flyers,no,yes,tricky,易错（tricky）,general,mixed,,Cambridge 2025 PDF
interesting,word,A2 Flyers,no,yes,tricky,易错（tricky）,general,mixed,,Cambridge 2025 PDF
invent,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
invitation,word,A2 Flyers,no,yes,tricky,易错（tricky）,general,mixed,,Cambridge 2025 PDF
jam,word,A2 Flyers,no,yes,core,核心（core）,food,mixed,,Cambridge 2025 PDF
January,word,A2 Flyers,no,yes,special,特殊（special）,time,mixed,month,Cambridge 2025 PDF
job,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
join (a club),phrase,A2 Flyers,no,yes,tricky,易错（tricky）,actions_phrases,verb,,Cambridge 2025 PDF
journalist,word,A2 Flyers,no,yes,tricky,易错（tricky）,people,mixed,,Cambridge 2025 PDF
journey,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
July,word,A2 Flyers,no,yes,special,特殊（special）,time,mixed,month,Cambridge 2025 PDF
June,word,A2 Flyers,no,yes,special,特殊（special）,time,mixed,month,Cambridge 2025 PDF
just,word,A2 Flyers,no,yes,core,核心（core）,general,adverb,,Cambridge 2025 PDF
Katy,word,A2 Flyers,yes,yes,must_write,必写（must_write）,people,mixed,name,Cambridge 2025 PDF
keep,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
key,word,A2 Flyers,no,yes,core,核心（core）,home_objects,mixed,,Cambridge 2025 PDF
kilometre (US kilometer),phrase,A2 Flyers,no,yes,tricky,易错（tricky）,general,phrase,,Cambridge 2025 PDF
kind,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
king,word,A2 Flyers,no,yes,core,核心（core）,people,mixed,,Cambridge 2025 PDF
knee,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
knife,word,A2 Flyers,no,yes,core,核心（core）,home_objects,mixed,,Cambridge 2025 PDF
land,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
language,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
large,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
late,word,A2 Flyers,no,yes,core,核心（core）,time,mixed,,Cambridge 2025 PDF
later,word,A2 Flyers,no,yes,core,核心（core）,time,adverb,,Cambridge 2025 PDF
lazy,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
leave,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
left (as in direction),phrase,A2 Flyers,no,yes,tricky,易错（tricky）,general,phrase,,Cambridge 2025 PDF
let,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
letter (as in mail),phrase,A2 Flyers,no,yes,tricky,易错（tricky）,home_objects,phrase,,Cambridge 2025 PDF
lie (as in lie down),phrase,A2 Flyers,no,yes,tricky,易错（tricky）,general,verb,,Cambridge 2025 PDF
lift (ride),phrase,A2 Flyers,no,yes,tricky,易错（tricky）,general,phrase,,Cambridge 2025 PDF
lift,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
light,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
a little,phrase,A2 Flyers,no,yes,tricky,易错（tricky）,general,phrase,,Cambridge 2025 PDF
London,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
look after,phrase,A2 Flyers,no,yes,tricky,易错（tricky）,actions_phrases,verb,,Cambridge 2025 PDF
look like,phrase,A2 Flyers,no,yes,tricky,易错（tricky）,actions_phrases,verb,,Cambridge 2025 PDF
lovely,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
low,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
lucky,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
magazine,word,A2 Flyers,no,no,extended,扩展（extended）,home_objects,mixed,,Cambridge 2025 PDF
make sure,phrase,A2 Flyers,no,yes,tricky,易错（tricky）,actions_phrases,verb,,Cambridge 2025 PDF
manager,word,A2 Flyers,no,yes,extended,扩展（extended）,people,mixed,,Cambridge 2025 PDF
March,word,A2 Flyers,no,yes,special,特殊（special）,time,mixed,month,Cambridge 2025 PDF
married,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
match (football),phrase,A2 Flyers,no,yes,tricky,易错（tricky）,general,phrase,,Cambridge 2025 PDF
maths (US math),phrase,A2 Flyers,no,yes,tricky,易错（tricky）,school_fun,phrase,,Cambridge 2025 PDF
May,word,A2 Flyers,no,yes,special,特殊（special）,time,mixed,month,Cambridge 2025 PDF
meal,word,A2 Flyers,no,yes,core,核心（core）,food,mixed,,Cambridge 2025 PDF
mechanic,word,A2 Flyers,no,yes,extended,扩展（extended）,people,mixed,,Cambridge 2025 PDF
medicine,word,A2 Flyers,no,no,extended,扩展（extended）,home_objects,mixed,,Cambridge 2025 PDF
meet,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
meeting,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
member,word,A2 Flyers,no,yes,core,核心（core）,people,mixed,,Cambridge 2025 PDF
metal,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
Michael,word,A2 Flyers,yes,yes,must_write,必写（must_write）,people,mixed,name,Cambridge 2025 PDF
midday,word,A2 Flyers,no,yes,special,特殊（special）,time,mixed,time,Cambridge 2025 PDF
middle,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
midnight,word,A2 Flyers,no,yes,special,特殊（special）,time,mixed,time,Cambridge 2025 PDF
might,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
million,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
mind,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
minute,word,A2 Flyers,no,yes,core,核心（core）,time,mixed,,Cambridge 2025 PDF
missing,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
mix,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
money,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
month,word,A2 Flyers,no,yes,core,核心（core）,time,mixed,,Cambridge 2025 PDF
motorway,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
