word,phrase_type,level,official_write,training_include,write_priority,level_label,topic,pos,special_type,source
smell,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
snack,word,A2 Flyers,no,yes,core,核心（core）,food,mixed,,Cambridge 2025 PDF
snowball,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
snowboard,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
snowboarding,word,A2 Flyers,no,yes,tricky,易错（tricky）,general,mixed,,Cambridge 2025 PDF
snowman,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
so,word,A2 Flyers,no,yes,core,核心（core）,general,adverb,,Cambridge 2025 PDF
soap,word,A2 Flyers,no,yes,core,核心（core）,home_objects,mixed,,Cambridge 2025 PDF
soft,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
somewhere,word,A2 Flyers,no,no,extended,扩展（extended）,general,adverb,,Cambridge 2025 PDF
